4.00	20.68	0.156	0.237
3.80	20.65	0.152	0.237
3.60	20.56	0.147	0.236
3.40	20.44	0.143	0.234
3.20	20.31	0.139	0.233
3.00	20.15	0.135	0.232
2.90	19.89	0.100	0.229
2.80	19.81	0.098	0.228
2.70	19.70	0.095	0.227
2.60	19.61	0.093	0.226
2.50	19.54	0.090	0.225
2.40	19.44	0.088	0.224
2.30	19.32	0.085	0.223
2.20	19.21	0.083	0.222
2.10	19.12	0.080	0.221
2.00	19.02	0.078	0.220
1.90	18.88	0.076	0.219
1.80	18.80	0.074	0.218
1.70	18.70	0.071	0.217
1.60	18.61	0.069	0.216
1.50	18.48	0.067	0.215
1.40	18.38	0.065	0.214
1.30	18.26	0.063	0.213
1.20	18.17	0.062	0.212
1.10	18.04	0.060	0.210
1.00	17.91	0.036	0.209
0.92	17.82	0.034	0.208
0.84	17.70	0.032	0.207
0.76	17.60	0.030	0.206
0.68	17.47	0.029	0.205
0.60	17.31	0.027	0.203
0.52	17.11	0.025	0.201
0.44	16.80	0.024	0.198
0.40	16.61	0.023	0.196
0.40	16.25	0.016	0.193
0.38	16.10	0.015	0.191
0.36	15.90	0.015	0.189
0.34	15.85	0.014	0.189
0.32	15.60	0.014	0.186
0.30	15.28	0.013	0.183
0.29	15.05	0.010	0.181
0.28	14.85	0.010	0.179
0.27	14.60	0.010	0.176
0.26	14.35	0.009	0.174
0.25	14.04	0.009	0.170
0.24	13.65	0.009	0.167
0.23	13.27	0.009	0.163
0.22	12.80	0.008	0.158
0.21	12.30	0.008	0.153
0.20	11.70	0.008	0.147
0.19	11.07	0.008	0.141
0.18	10.30	0.007	0.133
0.17	9.49	0.007	0.125
0.16	8.62	0.007	0.116
0.15	7.75	0.007	0.108
0.14	6.75	0.007	0.098
0.13	5.76	0.006	0.088
0.12	4.87	0.006	0.079
0.11	4.07	0.006	0.071
0.10	3.27	0.004	0.063
0.09	2.68	0.003	0.057
0.08	2.13	0.003	0.051
0.08	1.68	0.003	0.047
0.07	1.29	0.003	0.043
0.06	0.96	0.003	0.040
