4.00	10.97	0.156	0.140
3.80	10.92	0.152	0.139
3.60	10.86	0.147	0.139
3.40	10.80	0.143	0.138
3.20	10.73	0.139	0.137
3.00	10.62	0.103	0.136
2.80	10.53	0.098	0.135
2.60	10.46	0.093	0.135
2.40	10.39	0.088	0.134
2.20	10.32	0.083	0.133
2.00	10.24	0.078	0.132
1.80	10.14	0.074	0.131
1.60	10.05	0.069	0.131
1.40	9.97	0.065	0.130
1.20	9.86	0.062	0.129
1.00	9.75	0.036	0.128
0.80	9.62	0.031	0.126
0.60	9.49	0.027	0.125
0.52	9.41	0.025	0.124
0.44	9.34	0.024	0.123
0.40	9.27	0.016	0.123
0.36	9.22	0.015	0.122
0.32	9.15	0.014	0.122
0.28	8.99	0.013	0.120
0.24	8.63	0.012	0.116
0.20	7.77	0.012	0.108
0.18	7.08	0.011	0.101
0.16	5.97	0.011	0.090
0.14	4.81	0.011	0.078
